Press,Temp,COND,Sal,DENS,C
88.4775,-0.2043,28.7054,34.74,28.33,1449.28
88.6922,-0.2043,28.7054,34.74,28.33,1449.29
88.9785,-0.2043,28.7066,34.74,28.33,1449.29
89.1575,-0.2037,28.7066,34.74,28.33,1449.3
89.4437,-0.2037,28.7054,34.74,28.33,1449.3
89.6942,-0.2037,28.7066,34.74,28.33,1449.31
89.9447,-0.2037,28.7066,34.74,28.33,1449.31
90.1952,-0.2037,28.7066,34.74,28.33,1449.31
90.4099,-0.2037,28.7054,34.74,28.33,1449.32
90.6604,-0.2048,28.7042,34.74,28.34,1449.31
90.9109,-0.2072,28.7017,34.73,28.34,1449.31
91.1614,-0.209,28.7017,34.74,28.34,1449.3
91.4119,-0.2107,28.6992,34.74,28.34,1449.3
91.6624,-0.2131,28.6992,34.74,28.34,1449.3
91.9129,-0.2143,28.7005,34.74,28.35,1449.3
92.2349,-0.2131,28.7103,34.75,28.36,1449.32
92.4496,-0.2025,28.7127,34.74,28.35,1449.36
92.7359,-0.1978,28.7152,34.74,28.35,1449.39
93.0222,-0.1954,28.7299,34.76,28.36,1449.43
93.2011,-0.1718,28.7802,34.8,28.4,1449.59
93.4158,-0.1299,28.8109,34.79,28.39,1449.78
93.7021,-0.0833,28.882,34.83,28.42,1450.05
93.9883,-0.0019,28.9715,34.86,28.44,1450.47
94.203,0.0784,29.0157,34.83,28.41,1450.79
94.4893,0.1279,29.0562,34.82,28.41,1451.02
94.704,0.1763,29.115,34.85,28.42,1451.28
94.9187,0.2282,29.1371,34.82,28.4,1451.48
95.2407,0.2542,29.1482,34.8,28.38,1451.58
95.4554,0.266,29.1518,34.79,28.38,1451.63
95.7417,0.2707,29.1555,34.79,28.38,1451.65
95.9206,0.2731,29.158,34.79,28.38,1451.67
96.2068,0.2772,29.1641,34.79,28.38,1451.7
96.4931,0.2807,29.1653,34.79,28.38,1451.71
96.672,0.2825,29.1665,34.79,28.38,1451.72
96.994,0.2837,29.1678,34.79,28.38,1451.73
97.1729,0.2843,29.169,34.79,28.38,1451.74
97.4592,0.2854,29.169,34.79,28.38,1451.75
97.7454,0.2854,29.1702,34.79,28.39,1451.76
98.0317,0.2854,29.1702,34.79,28.39,1451.76
98.2822,0.2854,29.1702,34.79,28.39,1451.76
98.5326,0.286,29.1702,34.79,28.39,1451.77
98.7831,0.286,29.1715,34.79,28.39,1451.78
98.9978,0.2854,29.1715,34.79,28.39,1451.78
99.284,0.2849,29.1715,34.79,28.4,1451.78
99.5345,0.2854,29.1715,34.79,28.4,1451.79
99.7492,0.286,29.1715,34.79,28.4,1451.79
