,ind,name,wspd,snr,snr_sh,alti
212,336,2024-01-04_22-47-51,1.7050002,10.1958725719804,34.5192843241143,1.757
213,337,2024-01-05_00-40-54,1.8428571,0.516144318192937,1.11507410870562,1.716
214,343,2024-01-08_01-39-01,8.026666,3.59591617148614,3.73240830710793,1.231
215,344,2024-01-08_02-51-00,6.0066667,5.87994339923259,6.06059302969702,1.231
216,345,2024-01-08_03-07-41,5.752941,7.56347635169214,7.91681301091057,1.245
217,346,2024-01-08_05-18-43,5.8500004,3.1547203804351,3.09169518615345,1.245
218,347,2024-01-08_05-37-48,5.2125,5.10621778072658,5.50787475397028,1.245
219,348,2024-01-08_05-55-05,4.4937496,1.46931265473018,1.64846173736784,1.245
220,349,2024-01-08_17-14-05,8.16,2.46672127080642,2.49049684150534,1.187
221,350,2024-01-08_17-31-24,8.6,5.3286159238361,5.73064714387874,1.145
222,351,2024-01-08_18-00-56,8.032968,3.85766928034012,4.35222090422636,1.186
223,352,2024-01-08_19-32-43,5.8733325,5.54428096915041,6.36550206561128,1.151
224,353,2024-01-08_21-02-34,6.1200004,5.93553233375086,6.63562160871281,1.071
225,354,2024-01-08_21-19-05,6.5625,4.50898954024093,4.84861352170485,1.058
226,355,2024-01-08_22-12-41,7.125,6.96072756498788,7.47391084860737,1.133
227,356,2024-01-08_22-30-24,7.361539,7.48643975319269,8.20778488686694,1.139
228,357,2024-01-09_01-11-30,8.8933325,6.73746226408906,7.7919209954833,1.1
229,358,2024-01-09_01-28-04,9.305556,3.14439541002915,5.18507298929048,1.107
230,359,2024-01-09_04-14-02,10.368751,9.12835960905766,10.8364434308639,1.98
231,360,2024-01-09_04-32-07,10.041176,6.6558889989328,7.85590618836961,1.948
232,361,2024-01-09_06-45-50,11.9,3.50244991515045,3.88586471443126,1.798
233,362,2024-01-09_07-02-29,11.81875,2.59685800268713,2.98501722038508,1.798
234,363,2024-01-09_18-29-29,12.53125,4.42900560316095,4.88083725664041,2.091
235,364,2024-01-09_18-46-27,12.225,2.70018363881083,4.47243623171781,2.061
236,365,2024-01-09_19-29-27,12.9625,5.48301096388673,6.0943951910006,2.031
237,366,2024-01-09_23-24-31,10.43125,4.02239421021039,4.58409380730399,1.863
238,367,2024-01-09_23-41-39,10.535294,3.29904616874813,3.3848804956853,1.706
239,368,2024-01-10_17-28-28,8.614285,8.24048411982968,11.0903286477561,2.216
240,369,2024-01-10_18-19-01,9.682353,11.985988614706,13.6407229609695,2.159
241,370,2024-01-10_19-35-12,9.1875,7.4841958708803,8.2473788772435,2.227
242,371,2024-01-10_19-52-32,9.2,10.559242152063,11.0864290801817,2.241
243,372,2024-01-10_21-16-29,8.68125,11.2611847985633,11.9501330126028,2.526
244,373,2024-01-10_21-33-06,9.646667,8.51083263758603,9.54263727397763,2.496
245,374,2024-01-11_00-03-29,8.407144,8.05466290804678,9.12692975927018,2.3
246,375,2024-01-11_00-21-01,nan,13.8495740193441,15.7314602758044,2.304
247,376,2024-01-11_16-09-02,12.564705,8.79504928427535,8.98775538456233,2.335
248,377,2024-01-11_16-27-59,13.549999,4.46068844616495,4.49629219300773,2.368
249,378,2024-01-11_16-47-02,13.193334,4.43253543666374,5.15810745564564,2.416
250,379,2024-01-11_18-09-13,13.48125,7.67701914355359,13.8973187826379,2.545
251,380,2024-01-11_18-27-25,13.611764,5.94728609826994,6.79183298964595,3.352
252,381,2024-01-11_21-12-10,13.173333,6.67344253690871,9.76102359516307,3.891
253,382,2024-01-11_21-30-07,14.5,1.89262716191811,3.31870746567292,3.976
254,383,2024-01-11_21-47-05,14.300001,9.34993267536308,13.2279281469842,3.976
255,384,2024-01-12_00-46-26,13.606666,8.86545898690755,10.2758795043121,4.11
256,385,2024-01-12_01-03-04,13.98125,7.96701058115666,8.69126158623037,4.154
257,386,2024-01-12_01-21-03,15.373334,4.30516547232171,5.00852320117728,4.157
258,387,2024-01-12_04-05-45,13.553334,7.23991516280996,8.50834508189646,4.552
259,388,2024-01-12_04-21-46,13.5,7.40620715254242,60.9250623440065,4.57
260,389,2024-01-12_04-38-00,11.820001,17.5590414415253,20.5081256377627,4.595
261,390,2024-01-12_06-13-05,11.440001,6.24461245935143,82.2732509223361,
262,391,2024-01-12_06-29-47,11.4375,7.63622660764537,50.0998559808456,
263,392,2024-01-12_06-46-47,11.299999,10.7952128733877,12.3379514796252,
264,393,2024-01-12_17-09-48,4.2647057,7.21288879580993,48.3012694998715,2.444
265,394,2024-01-12_17-28-19,4.4,6.3063882044838,78.3589061097282,2.451
266,395,2024-01-12_18-12-09,5.7799997,4.35350918062649,5.0585844587919,2.444
267,396,2024-01-12_19-38-47,nan,8.67448110887441,84.736374729959,2.358
268,397,2024-01-12_19-55-04,6.333333,8.96883086171018,64.3631229018406,2.335
269,398,2024-01-12_20-11-37,6.7733335,4.09820002296316,31.327864255528,2.319
270,403,2024-01-13_05-00-03,11.694118,4.15742667626475,6.25460981148216,
271,404,2024-01-13_06-14-31,11.086666,4.85923718452101,7.79711545514929,
272,405,2024-01-13_06-32-19,10.820001,4.27800957469829,4.86066465406044,
273,406,2024-01-13_08-25-27,9.176471,1.27266024740229,1.34309331592978,2.237
274,407,2024-01-13_08-44-22,10.146667,1.70905470611195,9.41855553008212,
275,408,2024-01-13_15-45-38,10.15625,4.9821697314091,7.69249701417004,2.692
276,409,2024-01-13_16-02-03,9.994118,6.94966053202283,7.15156024277238,2.786
277,410,2024-01-13_17-35-22,11.207144,9.79655448840909,11.1939208400281,3.109
278,411,2024-01-13_18-09-54,9.246667,11.7815412208334,13.0733277581401,2.677
279,412,2024-01-13_18-26-04,10.633333,4.75398606416256,4.85643134249618,2.58
280,413,2024-01-13_20-31-25,8.1692295,12.5109250816131,12.8003772563446,2.955
281,414,2024-01-13_20-45-46,8.991666,12.8760818076186,12.9675191871262,2.955
282,415,2024-01-13_20-58-51,9.418181,4.39567597658828,4.4305175197979,2.784
283,416,2024-01-13_21-11-33,8.427273,7.49912013488285,9.12142360567207,2.579
284,417,2024-01-13_21-23-45,8.29091,10.9206079029224,12.7644927800313,2.437
285,418,2024-01-13_21-36-03,8.958333,4.98626019071111,5.02498471337244,2.384
286,419,2024-01-14_04-34-42,8.52143,6.10149980960896,8.54558197070633,
287,420,2024-01-14_04-49-38,8.40625,23.9853503088504,115.281497472937,
288,421,2024-01-14_05-06-03,9.086666,10.0767138381012,13.6252669346944,
289,422,2024-01-14_06-19-32,8.925,19.6673757794012,49.4740181842877,
290,423,2024-01-14_06-34-14,9.083333,17.0592084059135,82.3765586688485,
291,424,2024-01-14_06-47-23,8.293333,2.94557207986899,7.53650637052706,
292,425,2024-01-14_08-53-12,8.363636,4.9029099156291,45.3241783291996,
293,426,2024-01-14_09-05-22,8.606666,4.99130862777067,7.53018379495931,
294,428,2024-01-14_16-01-36,6.3411765,4.85023371377845,47.6384391863911,1.719
295,429,2024-01-14_16-20-01,6.1529417,4.24184742410392,31.731019773441,1.735
296,430,2024-01-14_16-38-22,5.8500004,5.68305411875345,23.9584669738258,1.744
297,431,2024-01-14_21-13-59,0.7071429,0.264223957919187,0.528656302866716,1.633
298,434,2024-01-15_04-18-09,5.08,12.375476978201,13.0285833176616,1.715
299,435,2024-01-15_04-35-04,5.2642865,4.04765483905915,4.26824320824817,1.715
300,436,2024-01-15_06-30-03,6.233333,10.1710435981222,10.6796393193395,1.715
301,437,2024-01-15_06-49-41,7.46,19.8986784941165,21.1056378973975,1.715
302,438,2024-01-15_07-57-05,6.82,12.251329506938,12.8952601073754,1.715
303,439,2024-01-15_08-14-02,7.2066665,15.4464624299466,16.4866277753277,1.715
304,440,2024-01-15_08-31-04,7.4400005,5.37475018918309,5.63081669660969,
305,441,2024-01-15_15-33-09,6,8.74114959898879,9.10477253767412,
306,442,2024-01-15_15-50-05,5.7,10.0641685037597,10.4950608313242,
307,443,2024-01-15_16-07-02,6.253334,5.05955175804915,5.32713484444964,
308,444,2024-01-16_15-01-24,12.021428,9.16633244716287,9.75630089194051,2.706
309,445,2024-01-16_15-16-38,11.494738,8.84143644250893,11.0006849098322,2.706
310,446,2024-01-16_15-36-25,12.141176,4.23831349950386,4.36189248649738,2.706
311,447,2024-01-16_18-07-05,12.8375,6.49118189819655,7.72470501638191,3.02
312,448,2024-01-16_18-24-40,11.671429,8.68324138797668,9.95691471834752,3.02
313,449,2024-01-16_20-40-23,9.1,5.70793974487333,6.05492248277627,3.035
314,450,2024-01-16_20-56-34,8.386666,6.87243221116285,9.16388944046046,3.035
315,451,2024-01-16_21-12-50,9,2.13052610417162,2.50835386381934,3.035
316,452,2024-01-17_04-42-47,9.414286,14.0563105469914,17.6329272041086,2.636
317,453,2024-01-17_04-58-02,9.12,13.9093088397335,17.2812090108641,2.636
318,454,2024-01-17_05-15-04,8.75,2.6764375379192,4.15745917450707,2.636
319,457,2024-01-17_08-33-10,8.046154,4.61267665089503,6.24965586766343,
320,458,2024-01-17_15-59-08,11.413333,14.7140136161066,67.055104598285,2.629
321,459,2024-01-17_16-16-04,11.413334,26.3130826013291,40.4684694055078,2.594
322,460,2024-01-17_16-33-08,11.626666,5.73567166485927,30.2450542144602,2.594
323,461,2024-01-24_19-36-06,14.035714,7.62545370899474,8.34321916946704,2.509
324,462,2024-01-24_19-52-17,13.2,3.42476839614551,3.47297700000016,2.408
325,463,2024-01-24_20-08-31,13.373334,6.90824143985044,37.5006842329487,2.341
326,465,2024-01-25_08-33-40,4.673333,11.0326269813145,13.0154218197362,1.836
327,466,2024-01-25_08-49-40,4.766667,12.0052200759421,14.0867498664273,1.875
328,471,2024-01-26_17-25-10,7.522222,7.28076145997308,8.55492829959915,2.411
329,472,2024-01-26_17-47-53,8.653334,8.79005402672382,10.1580224013807,2.426
330,474,2024-01-27_04-39-15,11.34375,10.2116549099257,10.6869294193275,
331,475,2024-01-27_04-56-21,11.469564,7.39138804375676,19.6993434342415,
332,476,2024-01-27_13-39-17,10.928571,17.8052388979294,18.6781355057306,2.871
333,477,2024-01-27_13-54-26,11.078946,22.1175961498895,74.6947003975516,3.028
334,478,2024-01-27_14-14-38,11.946666,10.5098531234117,16.5907014379059,3.17
335,479,2024-01-27_17-21-50,11.470588,17.9683619331971,22.7098762459926,3.334
336,480,2024-01-27_17-40-25,10.841667,7.08897718232414,7.51318353315844,
